1,59,Abuja
2,54,Accra
3,52,Addis Ababa
4,34,Amsterdam
5,68,Astana
6,10,Asuncion
7,24,Athens
8,61,Baku
9,76,Bangkok
10,49,Bangui
11,42,Barcelona
12,44,Basel
13,64,Beijing
14,39,Belgrade
15,23,Berlin
16,44,Bern
17,45,Birmingham
18,8,Bogota
19,65,Bombay
20,23,Bonn
21,38,Brasov
22,40,Bratislava
23,45,Bristol
24,15,Brussels
25,38,Bucharest
26,25,Budapest
27,5,Buenos Aires
28,51,Cairo
29,45,Cambridge
30,78,Canberra
31,13,Caracas
32,4,Chicago
33,38,Cluj
34,19,Copenhagen
35,45,Coventry
36,60,Dakar
37,62,Dhaka
38,26,Dublin
39,27,Firenze
40,23,Frankfurt
41,47,Gaborone
42,45,Glasgow
43,45,Gloucester
44,14,Graz
45,64,Guangzhou
46,23,Hamburg
47,77,Hanoi
48,2,Havana
49,21,Helsinki
50,4,Houston
51,72,Islamabad
52,66,Jakarta
53,72,Karachi
54,71,Kathmandu
55,50,Kinshasa
56,69,Kuala Lumpur
57,67,Kyoto
58,59,Lagos
59,53,Libreville
60,11,Lima
61,14,Linz
62,37,Lisbon
63,45,Liverpool
64,41,Ljubljana
65,45,London
66,4,Los Angeles
67,46,Luanda
68,42,Madrid
69,73,Manila
70,58,Maputo
71,3,Mexico City
72,27,Milano
73,12,Montevideo
74,65,Mumbai
75,23,Munich
76,67,Nagoya
77,55,Nairobi
78,65,New Delhi
79,4,New York City
80,45,Newcastle
81,45,Nottingham
82,67,Osaka
83,35,Oslo
84,1,Ottawa
85,45,Oxford
86,22,Paris
87,4,Philadelphia
88,63,Phnom Penh
89,33,Podgorica
90,18,Prague
91,28,Pristina
92,9,Quito
93,57,Rabat
94,29,Riga
95,6,Rio de Janeiro
96,27,Rome
97,14,Salzburg
98,4,San Francisco
99,7,Santiago
100,6,Sao Paolo
101,67,Sapporo
102,74,Seoul
103,64,Shenzhen
104,38,Sibiu
105,32,Skopje
106,16,Sofia
107,43,Stockholm
108,75,Taipei
109,20,Tallinn
110,64,Tianjin
111,38,Timisoara
112,67,Tokyo
113,27,Torino
114,56,Tripoli
115,70,Ulaanbaatar
116,30,Vaduz
117,14,Vienna
118,31,Vilnius
119,36,Warsaw
120,79,Wellington
121,48,Yaounde
122,17,Zagreb
123,44,Zurich
