moved_to_state,from_state,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Alabama,Alaska,0,0,0,0,0,0,0.0002,0.0001,0.0006,0.0006,0.0006,0.0009
Alabama,Arizona,0,0,0,0,0,0.0002,0.0002,0.0004,0.0008,0.0007,0.0013,0.0016
Alabama,Arkansas,0.001,0.0008,0.0013,0.0021,0.0011,0.0019,0.0031,0.0023,0.0038,0.0033,0.0038,0.003
Alabama,California,0,0.0001,0.0002,0.0002,0.0003,0.0007,0.0018,0.0039,0.0054,0.0066,0.0094,0.0125
Alabama,Colorado,0,0.0001,0.0002,0.0002,0.0001,0.0003,0.0006,0.0005,0.0011,0.0013,0.0016,0.002
Alabama,Connecticut,0.0002,0.0003,0.0002,0,0.0002,0.0002,0.0005,0.0004,0.0009,0.001,0.0013,0.0014
Alabama,Delaware,0,0.0002,0,0,0,0,0.0001,0.0006,0.0005,0.0003,0.0004,0.0003
Alabama,District of Columbia,0,0,0.0001,0.0001,0.0002,0.0002,0.0009,0.0004,0.001,0.0011,0.0012,0.0009
Alabama,Florida,0.0038,0.0042,0.0051,0.0064,0.0068,0.0078,0.0092,0.012,0.0173,0.0201,0.0225,0.0257
Alabama,Georgia,0.0619,0.0554,0.0407,0.04,0.0281,0.0286,0.0248,0.0243,0.0275,0.0311,0.0324,0.0351
Alabama,Hawaii,0,0,0,0,0.0002,0,0.0002,0.0003,0.0005,0.0006,0.0008,0.0013
Alabama,Idaho,0,0,0,0,0,0,0.0001,0.0002,0.0004,0.0004,0.0004,0.0005
Alabama,Illinois,0.0017,0.0029,0.0021,0.0021,0.0016,0.0024,0.0037,0.0054,0.0088,0.0104,0.0118,0.0108
Alabama,Indiana,0.0009,0.001,0.0015,0.0018,0.0011,0.0013,0.0018,0.003,0.0045,0.0049,0.0058,0.006
Alabama,Iowa,0.0004,0.0001,0.0007,0.0002,0.0004,0.0006,0.0006,0.001,0.0012,0.0013,0.0016,0.0015
Alabama,Kansas,0.0003,0.0002,0.0002,0.0003,0.0002,0.0005,0.0011,0.0018,0.0015,0.0021,0.0021,0.0024
Alabama,Kentucky,0.0024,0.0031,0.003,0.003,0.0027,0.0022,0.0035,0.0042,0.005,0.0059,0.0059,0.005
Alabama,Louisiana,0.0017,0.0017,0.0019,0.0015,0.0024,0.0035,0.0035,0.0049,0.0059,0.0075,0.0086,0.0098
Alabama,Maine,0.0002,0.0001,0.0001,0.0002,0,0.0003,0.0001,0.0005,0.0006,0.0006,0.0007,0.0008
Alabama,Maryland,0.0006,0.0006,0.0005,0.0003,0.0004,0.0004,0.0006,0.001,0.0017,0.002,0.0025,0.0018
Alabama,Massachusetts,0.0002,0.0002,0.0003,0.0003,0.0001,0.0006,0.0012,0.0015,0.0021,0.0019,0.0023,0.0021
Alabama,Michigan,0.0005,0.0009,0.0007,0.0007,0.0007,0.0012,0.0024,0.004,0.006,0.008,0.0083,0.0102
Alabama,Minnesota,0.0003,0.0003,0.0004,0.0003,0.0003,0.0005,0.0008,0.0009,0.0011,0.0012,0.0015,0.0018
Alabama,Mississippi,0.0123,0.0121,0.0151,0.0173,0.0146,0.0202,0.0212,0.0194,0.0204,0.0222,0.0217,0.0226
Alabama,Missouri,0.0007,0.001,0.0008,0.0008,0.0008,0.0017,0.0018,0.0022,0.003,0.0038,0.0043,0.0053
Alabama,Montana,0,0,0,0,0,0,0.0002,0.0001,0.0004,0.0004,0.0004,0.0005
Alabama,Nebraska,0.0001,0.0002,0.0001,0.0002,0.0001,0.0005,0.0004,0.0011,0.0006,0.0009,0.001,0.0006
Alabama,Nevada,0,0,0,0,0,0,0,0.0002,0.0003,0.0002,0.0003,0.0002
Alabama,New Hampshire,0.0001,0.0001,0.0001,0.0001,0,0.0001,0.0002,0.0002,0.0002,0.0003,0.0004,0.0006
Alabama,New Jersey,0.0001,0.0002,0.0003,0.0002,0.0002,0.0004,0.0009,0.0021,0.0026,0.0029,0.0034,0.0042
Alabama,New Mexico,0,0,0.0002,0.0001,0.0001,0.0001,0.0002,0.0006,0.0007,0.0009,0.0009,0.0009
Alabama,New York,0.0013,0.0013,0.0011,0.0017,0.0017,0.0022,0.0029,0.0054,0.0066,0.008,0.0092,0.0093
Alabama,North Carolina,0.0067,0.0042,0.0021,0.0031,0.0018,0.0021,0.0033,0.0044,0.0056,0.0061,0.0058,0.0082
Alabama,North Dakota,0,0,0,0,0,0.0002,0.0002,0.0002,0.0003,0.0004,0.0005,0.0006
Alabama,Ohio,0.002,0.002,0.0026,0.0026,0.0019,0.0027,0.0033,0.0037,0.0073,0.0091,0.0087,0.0098
Alabama,Oklahoma,0,0.0001,0.0008,0.0004,0.001,0.0013,0.0014,0.0015,0.0023,0.0025,0.0027,0.0022
Alabama,Oregon,0,0,0,0,0,0.0002,0.0002,0.0005,0.0003,0.0005,0.0006,0.0005
Alabama,Pennsylvania,0.0014,0.0018,0.0014,0.0014,0.0011,0.0025,0.0034,0.0032,0.0052,0.0054,0.0063,0.0056
Alabama,Rhode Island,0,0,0,0,0,0.0001,0.0001,0.0004,0.0005,0.0005,0.0004,0.0004
Alabama,South Carolina,0.0103,0.0059,0.0051,0.0029,0.0017,0.0024,0.0027,0.0033,0.0035,0.0043,0.0041,0.005
Alabama,South Dakota,0,0,0,0,0.0001,0.0002,0.0002,0.0004,0.0004,0.0005,0.0005,0.0004
Alabama,Tennessee,0.0166,0.0206,0.0224,0.0196,0.0185,0.0149,0.0171,0.0177,0.0192,0.0197,0.019,0.0184
Alabama,Texas,0.0021,0.002,0.0018,0.0033,0.0034,0.0042,0.006,0.008,0.0086,0.0103,0.0121,0.013
